Sample,$P\ (\mathrm{bar})$,$V\ (\mathrm{cm}^3)$,\text{Number of moles},$T_c$ (mK),$T_{AB}$ (mK),$C_n / RT$ (K$^{-1}$),$\Delta C_B / C_>$,$\Delta C_A / C_>$
1,0,36.837,0.153,0.929,,,,
2,0,36.837,0.23,0.929,,,,
3,0,36.837,0.322,0.929,,,,
4,0,36.837,0.435,0.929,,2.78,1.46,
5,2.18,34.622,0.478,1.203,,2.94,1.54,
6,5.209,32.469,0.51,1.495,,3.11,1.61,
7,10.253,30.26,0.547,1.842,,3.38,1.7,
8,14.95,28.904,0.573,2.067,,3.63,1.76,
9,20.295,27.693,0.598,2.247,,3.89,1.83,
10,25.307,26.806,0.618,2.364,2.183,4.12,1.89,1.94
11,29.079,26.284,0.63,2.427,2.081,4.32,1.91,1.99
12,33.953,25.585,0.647,2.486,1.94,4.54,1.97,2.12